MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes
,,,28,224,Cell 14 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,29,232,Cell 14 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,30,240,Cell 15 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,31,248,Cell 15 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,32,256,Cell 16 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,33,264,Cell 16 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,34,272,Cell 17 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,35,280,Cell 17 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,36,288,Cell 18 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,37,296,Cell 18 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,38,304,Cell 19 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,39,312,Cell 19 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,40,320,Cell 20 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,41,328,Cell 20 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,42,336,Cell 21 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,43,344,Cell 21 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,44,352,Cell 22 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,45,360,Cell 22 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,46,368,Cell 23 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,47,376,Cell 23 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,48,384,Cell 24 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,49,392,Cell 24 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,50,400,Cell 25 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,51,408,Cell 25 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,52,416,Cell 26 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,53,424,Cell 26 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,54,432,Cell 27 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
